"code","title","country"
"11","Agriculture, Forestry, Fishing and Hunting","all"
"111","Crop Production","all"
"1111","Oilseed and Grain Farming","all"
"11111","Soybean Farming","all"
"111110","Soybean Farming","all"
"11112","Oilseed (except Soybean) Farming","all"
"111120","Oilseed (except Soybean) Farming","all"
"11113","Dry Pea and Bean Farming","all"
"111130","Dry Pea and Bean Farming","all"
"11114","Wheat Farming","all"
"111140","Wheat Farming","all"
"11115","Corn Farming","all"
"111150","Corn Farming","all"
"11116","Rice Farming","all"
"111160","Rice Farming","all"
"11119","Other Grain Farming","all"
"111190","Other Grain Farming","CAN"
"111191","Oilseed and Grain Combination Farming","US"
"111199","All Other Grain Farming","US"
"1112","Vegetable and Melon Farming","all"
"11121","Vegetable and Melon Farming","all"
"111211","Potato Farming","all"
"111219","Other Vegetable (except Potato) and Melon Farming","all"
"1113","Fruit and Tree Nut Farming","all"
"11131","Orange Groves","all"
"111310","Orange Groves","all"
"11132","Citrus (except Orange) Groves","all"
"111320","Citrus (except Orange) Groves","all"
"11133","Non-Citrus Fruit and Tree Nut Farming","all"
"111330","Non-Citrus Fruit and Tree Nut Farming","CAN"
"111331","Apple Orchards","US"
"111332","Grape Vineyards","US"
"111333","Strawberry Farming","US"
"111334","Berry (except Strawberry) Farming","US"
"111335","Tree Nut Farming","US"
"111336","Fruit and Tree Nut Combination Farming","US"
"111339","Other Noncitrus Fruit Farming","US"
"1114","Greenhouse, Nursery and Floriculture Production","all"
"11141","Food Crops Grown Under Cover","all"
"111411","Mushroom Production","all"
"111419","Other Food Crops Grown Under Cover","all"
"11142","Nursery and Floriculture Production","all"
"111421","Nursery and Tree Production","all"
"111422","Floriculture Production","all"
"1119","Other Crop Farming","all"
"11191","Tobacco Farming","all"
"111910","Tobacco Farming","all"
"11192","Cotton Farming","all"
"111920","Cotton Farming","all"
"11193","Sugar-Cane Farming","all"
"111930","Sugar-Cane Farming","all"
"11194","Hay Farming","all"
"111940","Hay Farming","all"
"11199","All Other Crop Farming","all"
"111991","Sugar Beet Farming","US"
"111992","Peanut Farming","US"
"111993","Fruit and Vegetable Combination Farming","CAN"
"111998","All Other Miscellaneous Crop Farming","US"
"111999","All Other Miscellaneous Crop Farming","CAN"
